URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/languages/aar	aar	Afar	
http://id.loc.gov/vocabulary/languages/abk	abk	Abkhaz	
http://id.loc.gov/vocabulary/languages/ace	ace	Achinese	
http://id.loc.gov/vocabulary/languages/ach	ach	Acoli	
http://id.loc.gov/vocabulary/languages/ada	ada	Adangme	
http://id.loc.gov/vocabulary/languages/ady	ady	Adygei	
http://id.loc.gov/vocabulary/languages/afa	afa	Afroasiatic (Other)	
http://id.loc.gov/vocabulary/languages/afh	afh	Afrihili (Artificial language)	
http://id.loc.gov/vocabulary/languages/afr	afr	Afrikaans	
http://id.loc.gov/vocabulary/languages/ain	ain	Ainu	
http://id.loc.gov/vocabulary/languages/aka	aka	Akan	
http://id.loc.gov/vocabulary/languages/akk	akk	Akkadian	
http://id.loc.gov/vocabulary/languages/alb	alb	Albanian	
http://id.loc.gov/vocabulary/languages/ale	ale	Aleut	
http://id.loc.gov/vocabulary/languages/alg	alg	Algonquian (Other)	
http://id.loc.gov/vocabulary/languages/alt	alt	Altai	
http://id.loc.gov/vocabulary/languages/amh	amh	Amharic	
http://id.loc.gov/vocabulary/languages/ang	ang	English, Old (ca. 450-1100)	
http://id.loc.gov/vocabulary/languages/anp	anp	Angika	
http://id.loc.gov/vocabulary/languages/apa	apa	Apache languages	
http://id.loc.gov/vocabulary/languages/ara	ara	Arabic	
http://id.loc.gov/vocabulary/languages/arc	arc	Aramaic	
http://id.loc.gov/vocabulary/languages/arg	arg	Aragonese	
http://id.loc.gov/vocabulary/languages/arm	arm	Armenian	
http://id.loc.gov/vocabulary/languages/arn	arn	Mapuche	
http://id.loc.gov/vocabulary/languages/arp	arp	Arapaho	
http://id.loc.gov/vocabulary/languages/art	art	Artificial (Other)	
http://id.loc.gov/vocabulary/languages/arw	arw	Arawak	
http://id.loc.gov/vocabulary/languages/asm	asm	Assamese	
http://id.loc.gov/vocabulary/languages/ast	ast	Bable	
http://id.loc.gov/vocabulary/languages/ath	ath	Athapascan (Other)	
http://id.loc.gov/vocabulary/languages/aus	aus	Australian languages	
